No.,Time,Source,Destination,Protocol,Length,Info
44,0.605286,10.97.172.240,162.125.18.133,TCP,54,54836  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
45,0.606422,10.97.172.240,162.125.18.133,TLSv1.2,235,Client Hello
46,0.611115,162.125.18.133,10.97.172.240,TCP,66,"443  >  54837 [SYN, ACK] Seq=0 Ack=1 Win=28800 Len=0 MSS=1380 SACK_PERM=1 WS=512"
47,0.61118,10.97.172.240,162.125.18.133,TCP,54,54837  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
48,0.613614,10.97.172.240,162.125.18.133,TLSv1.2,235,Client Hello
49,0.687482,162.125.18.133,10.97.172.240,TCP,54,443  >  54836 [ACK] Seq=1 Ack=182 Win=30208 Len=0
50,0.6887,162.125.18.133,10.97.172.240,TLSv1.2,1434,Server Hello
51,0.688703,162.125.18.133,10.97.172.240,TCP,1434,443  >  54836 [ACK] Seq=1381 Ack=182 Win=30208 Len=1380 [TCP segment of a reassembled PDU]
52,0.688704,162.125.18.133,10.97.172.240,TLSv1.2,713,"Certificate, Server Key Exchange, Server Hello Done"
53,0.688753,10.97.172.240,162.125.18.133,TCP,54,54836  >  443 [ACK] Seq=182 Ack=2761 Win=259328 Len=0
54,0.688753,10.97.172.240,162.125.18.133,TCP,54,54836  >  443 [ACK] Seq=182 Ack=3420 Win=258688 Len=0
55,0.689764,10.97.172.240,162.125.18.133,TCP,54,[TCP Window Update] 54836  >  443 [ACK] Seq=182 Ack=3420 Win=261760 Len=0
56,0.690754,10.97.172.240,162.125.18.133,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
57,0.694018,162.125.18.133,10.97.172.240,TCP,54,443  >  54837 [ACK] Seq=1 Ack=182 Win=30208 Len=0
58,0.695469,162.125.18.133,10.97.172.240,TLSv1.2,1434,Server Hello
59,0.695475,162.125.18.133,10.97.172.240,TCP,713,"[TCP Previous segment not captured] 443  >  54837 [PSH, ACK] Seq=2761 Ack=182 Win=30208 Len=659 [TCP segment of a reassembled PDU], Server Key Exchange, Server Hello Done"
60,0.695476,162.125.18.133,10.97.172.240,TCP,1434,[TCP Out-Of-Order] 443  >  54837 [ACK] Seq=1381 Ack=182 Win=30208 Len=1380
61,0.695579,10.97.172.240,162.125.18.133,TCP,66,54837  >  443 [ACK] Seq=182 Ack=1381 Win=260736 Len=0 SLE=2761 SRE=3420
62,0.695579,10.97.172.240,162.125.18.133,TCP,54,54837  >  443 [ACK] Seq=182 Ack=3420 Win=258688 Len=0
63,0.695745,10.97.172.240,162.125.18.133,TCP,54,[TCP Window Update] 54837  >  443 [ACK] Seq=182 Ack=3420 Win=261760 Len=0
64,0.697009,10.97.172.240,162.125.18.133,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
65,0.735817,10.97.172.240,216.58.206.142,TLSv1.2,85,Encrypted Alert
66,0.735817,10.97.172.240,216.58.206.142,TCP,54,"54777  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0"
67,0.738671,216.58.206.142,10.97.172.240,TCP,54,443  >  54777 [ACK] Seq=1 Ack=32 Win=306 Len=0
68,0.739034,216.58.206.142,10.97.172.240,TCP,54,"443  >  54777 [FIN, ACK] Seq=1 Ack=33 Win=306 Len=0"
69,0.739088,10.97.172.240,216.58.206.142,TCP,54,54777  >  443 [ACK] Seq=33 Ack=2 Win=4096 Len=0
70,0.774443,162.125.18.133,10.97.172.240,TLSv1.2,296,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
71,0.774501,10.97.172.240,162.125.18.133,TCP,54,54836  >  443 [ACK] Seq=308 Ack=3662 Win=261888 Len=0
72,0.776848,10.97.172.240,162.125.18.133,TLSv1.2,519,Application Data
73,0.777814,162.125.18.133,10.97.172.240,TLSv1.2,296,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
74,0.777895,10.97.172.240,162.125.18.133,TCP,54,54837  >  443 [ACK] Seq=308 Ack=3662 Win=261888 Len=0
75,0.77895,10.97.172.240,162.125.18.133,TLSv1.2,519,Application Data
76,0.990878,162.125.18.133,10.97.172.240,TCP,54,443  >  54836 [ACK] Seq=3662 Ack=773 Win=31232 Len=0
77,0.990971,10.97.172.240,162.125.18.133,TLSv1.2,560,Application Data
78,0.991398,162.125.18.133,10.97.172.240,TCP,54,443  >  54837 [ACK] Seq=3662 Ack=773 Win=31232 Len=0
79,0.991486,10.97.172.240,162.125.18.133,TLSv1.2,639,Application Data
80,1.073776,162.125.18.133,10.97.172.240,TCP,54,443  >  54837 [ACK] Seq=3662 Ack=1358 Win=32256 Len=0
81,1.073951,162.125.18.133,10.97.172.240,TCP,54,443  >  54836 [ACK] Seq=3662 Ack=1279 Win=32256 Len=0
82,4.517173,10.97.172.240,193.60.250.1,DNS,96,Standard query 0xe803 A googlehosted.l.googleusercontent.com
83,4.520831,193.60.250.1,10.97.172.240,DNS,367,Standard query response 0xe803 A googlehosted.l.googleusercontent.com A 216.58.206.129 NS ns2.google.com NS ns1.google.com NS ns3.google.com NS ns4.google.com A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.38.10 AAAA 2001:4860:4802:38::a A 216.239.36.10 AAAA 2001:4860:4802:36::a
84,4.522246,10.97.172.240,216.58.206.129,TCP,78,54838  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089644825 TSecr=0 SACK_PERM=1
85,4.524834,216.58.206.129,10.97.172.240,TCP,66,"443  >  54838 [SYN, ACK] Seq=0 Ack=1 Win=60720 Len=0 MSS=1380 SACK_PERM=1 WS=256"
86,4.524903,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
87,4.526233,10.97.172.240,216.58.206.129,TLSv1.2,571,Client Hello
88,4.528896,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=1 Ack=518 Win=61952 Len=0
89,4.529103,216.58.206.129,10.97.172.240,TLSv1.2,216,"Server Hello, Change Cipher Spec, Encrypted Handshake Message"
90,4.529147,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=518 Ack=163 Win=261952 Len=0
91,4.5297,10.97.172.240,216.58.206.129,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
92,4.573092,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=163 Ack=569 Win=61952 Len=0
93,4.666103,10.97.172.240,216.58.206.129,TLSv1.2,579,Application Data
94,4.666679,10.97.172.240,216.58.206.129,TCP,1434,54838  >  443 [ACK] Seq=1094 Ack=163 Win=262144 Len=1380 [TCP segment of a reassembled PDU]
95,4.66668,10.97.172.240,216.58.206.129,TLSv1.2,920,Application Data
96,4.669677,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=163 Ack=1094 Win=62976 Len=0
97,4.66968,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=163 Ack=2474 Win=65792 Len=0
98,4.670658,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=163 Ack=3340 Win=68608 Len=0
99,4.959234,216.58.206.129,10.97.172.240,TLSv1.2,504,Application Data
100,4.959239,216.58.206.129,10.97.172.240,TLSv1.2,1434,Application Data
101,4.959291,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=3340 Ack=613 Win=261632 Len=0
102,4.959291,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=3340 Ack=1993 Win=260288 Len=0
103,4.959554,216.58.206.129,10.97.172.240,TLSv1.2,318,Application Data
104,4.959556,216.58.206.129,10.97.172.240,TLSv1.2,88,Application Data
105,4.959557,216.58.206.129,10.97.172.240,TCP,88,"[TCP Retransmission] 443  >  54838 [PSH, ACK] Seq=2257 Ack=3340 Win=68608 Len=34"
106,4.959585,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=3340 Ack=2257 Win=261824 Len=0
107,4.959585,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=3340 Ack=2291 Win=261824 Len=0
108,4.959594,10.97.172.240,216.58.206.129,TCP,66,[TCP Dup ACK 107#1] 54838  >  443 [ACK] Seq=3340 Ack=2291 Win=261824 Len=0 SLE=2257 SRE=2291
109,4.973926,10.97.172.240,216.58.206.129,TLSv1.2,535,Application Data
110,4.973973,10.97.172.240,216.58.206.129,TLSv1.2,508,Application Data
111,4.979649,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=2291 Ack=3821 Win=71168 Len=0
112,4.982399,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=2291 Ack=4275 Win=73984 Len=0
113,4.988646,216.58.206.129,10.97.172.240,TLSv1.2,527,Application Data
114,4.988649,216.58.206.129,10.97.172.240,TLSv1.2,295,Application Data
115,4.988704,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=4275 Ack=2764 Win=261632 Len=0
116,4.988705,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=4275 Ack=3005 Win=261376 Len=0
117,4.988764,216.58.206.129,10.97.172.240,TLSv1.2,88,Application Data
118,4.988791,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=4275 Ack=3039 Win=262080 Len=0
119,4.99745,10.97.172.240,216.58.206.129,TLSv1.2,535,Application Data
120,4.99745,10.97.172.240,216.58.206.129,TLSv1.2,513,Application Data
121,5.000601,216.58.206.129,10.97.172.240,TCP,54,443  >  54838 [ACK] Seq=3039 Ack=5215 Win=79616 Len=0
122,5.00912,216.58.206.129,10.97.172.240,TLSv1.2,527,Application Data
123,5.009123,216.58.206.129,10.97.172.240,TLSv1.2,316,Application Data
124,5.009167,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=5215 Ack=3512 Win=261632 Len=0
125,5.009168,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=5215 Ack=3774 Win=261376 Len=0
126,5.009222,216.58.206.129,10.97.172.240,TLSv1.2,88,Application Data
127,5.009243,10.97.172.240,216.58.206.129,TCP,54,54838  >  443 [ACK] Seq=5215 Ack=3808 Win=262080 Len=0
128,6.592101,10.97.172.240,193.60.250.1,DNS,81,Standard query 0x90b0 A config.edge.skype.com
129,6.594147,10.97.172.240,193.60.250.1,DNS,91,Standard query 0xed4d A client-office365-tas.msedge.net
130,6.596294,193.60.250.1,10.97.172.240,DNS,198,Standard query response 0x90b0 A config.edge.skype.com CNAME s-0001.s-msedge.net A 13.107.3.128 NS ns1.s-msedge.net NS ns2.s-msedge.net A 13.107.3.1 A 13.107.3.2
131,6.597361,193.60.250.1,10.97.172.240,DNS,453,Standard query response 0xed4d A client-office365-tas.msedge.net CNAME afdo-tas-offload.trafficmanager.net CNAME vip5.afdorigin-prod-am02.afdogw.com A 52.232.69.150 NS ns4-06.azure-dns.info NS ns2-06.azure-dns.net NS ns3-06.azure-dns.org NS ns1-06.azure-dns.com A 40.90.4.6 AAAA 2603:1061::6 A 64.4.48.6 A 13.107.24.6 AAAA 2a01:111:4000::6 A 13.107.160.6
132,6.59738,10.97.172.240,13.107.3.128,TCP,78,54839  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089646883 TSecr=0 SACK_PERM=1
133,6.598622,10.97.172.240,52.232.69.150,TCP,78,54840  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1089646884 TSecr=0 SACK_PERM=1
134,6.602403,13.107.3.128,10.97.172.240,TCP,66,"443  >  54839 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1380 WS=256 SACK_PERM=1"
135,6.602473,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
136,6.603269,10.97.172.240,13.107.3.128,TLSv1.2,235,Client Hello
137,6.607586,13.107.3.128,10.97.172.240,TCP,54,443  >  54839 [ACK] Seq=1 Ack=182 Win=524032 Len=0
138,6.608919,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=1 Ack=182 Win=524032 Len=1380 [TCP segment of a reassembled PDU]
139,6.608927,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=1381 Ack=182 Win=524032 Len=1380 [TCP segment of a reassembled PDU]
140,6.60893,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=2761 Ack=182 Win=524032 Len=1380 [TCP segment of a reassembled PDU]
141,6.608932,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=4141 Ack=182 Win=524032 Len=1380 [TCP segment of a reassembled PDU]
142,6.608934,13.107.3.128,10.97.172.240,TLSv1.2,917,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
143,6.609116,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=182 Ack=2761 Win=259328 Len=0
144,6.609117,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=182 Ack=5521 Win=256576 Len=0
145,6.609118,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=182 Ack=6384 Win=255744 Len=0
146,6.609218,10.97.172.240,13.107.3.128,TCP,54,[TCP Window Update] 54839  >  443 [ACK] Seq=182 Ack=6384 Win=262144 Len=0
147,6.611088,52.232.69.150,10.97.172.240,TCP,66,"443  >  54840 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1380 WS=256 SACK_PERM=1"
148,6.611226,10.97.172.240,52.232.69.150,TCP,54,54840  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0
149,6.612141,10.97.172.240,52.232.69.150,TLSv1.2,245,Client Hello
150,6.621019,10.97.172.240,13.107.3.128,TLSv1.2,129,Client Key Exchange
151,6.621062,10.97.172.240,13.107.3.128,TLSv1.2,60,Change Cipher Spec
152,6.621062,10.97.172.240,13.107.3.128,TLSv1.2,99,Encrypted Handshake Message
153,6.626926,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=1 Ack=192 Win=262144 Len=1380 [TCP segment of a reassembled PDU]
154,6.626933,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=1381 Ack=192 Win=262144 Len=1380 [TCP segment of a reassembled PDU]
155,6.626934,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=2761 Ack=192 Win=262144 Len=1380 [TCP segment of a reassembled PDU]
156,6.626936,52.232.69.150,10.97.172.240,TCP,292,"[TCP Previous segment not captured] 443  >  54840 [PSH, ACK] Seq=5521 Ack=192 Win=262144 Len=238 [TCP segment of a reassembled PDU]"
157,6.62703,10.97.172.240,52.232.69.150,TCP,54,54840  >  443 [ACK] Seq=192 Ack=2761 Win=259328 Len=0
158,6.627031,10.97.172.240,52.232.69.150,TCP,66,54840  >  443 [ACK] Seq=192 Ack=4141 Win=257984 Len=0 SLE=5521 SRE=5759
159,6.627096,10.97.172.240,52.232.69.150,TCP,66,[TCP Window Update] 54840  >  443 [ACK] Seq=192 Ack=4141 Win=262144 Len=0 SLE=5521 SRE=5759
160,6.630302,52.232.69.150,10.97.172.240,TCP,1434,[TCP Out-Of-Order] 443  >  54840 [ACK] Seq=4141 Ack=192 Win=262144 Len=1380
161,6.630305,13.107.3.128,10.97.172.240,TCP,54,443  >  54839 [ACK] Seq=6384 Ack=308 Win=524032 Len=0
162,6.630306,13.107.3.128,10.97.172.240,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
163,6.630356,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=308 Ack=6435 Win=262080 Len=0
164,6.630365,10.97.172.240,52.232.69.150,TCP,54,54840  >  443 [ACK] Seq=192 Ack=5759 Win=260480 Len=0
165,6.631103,10.97.172.240,13.107.3.128,TLSv1.2,716,Application Data
166,6.640155,10.97.172.240,52.232.69.150,TLSv1.2,129,Client Key Exchange
167,6.640155,10.97.172.240,52.232.69.150,TLSv1.2,60,Change Cipher Spec
168,6.640156,10.97.172.240,52.232.69.150,TLSv1.2,99,Encrypted Handshake Message
169,6.650904,52.232.69.150,10.97.172.240,TCP,1434,"[TCP Spurious Retransmission] 443  >  54840 [PSH, ACK] Seq=4379 Ack=192 Win=262144 Len=1380[Reassembly error, protocol TCP: New fragment overlaps old data (retransmission?)]"
170,6.650975,10.97.172.240,52.232.69.150,TCP,66,[TCP Dup ACK 164#1] 54840  >  443 [ACK] Seq=318 Ack=5759 Win=262144 Len=0 SLE=4379 SRE=5759
171,6.65658,13.107.3.128,10.97.172.240,TCP,54,443  >  54839 [ACK] Seq=6435 Ack=970 Win=523264 Len=0
172,6.664136,52.232.69.150,10.97.172.240,TCP,54,443  >  54840 [ACK] Seq=5759 Ack=318 Win=261888 Len=0
173,6.664814,52.232.69.150,10.97.172.240,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
174,6.664861,10.97.172.240,52.232.69.150,TCP,54,54840  >  443 [ACK] Seq=318 Ack=5810 Win=262080 Len=0
175,6.665371,10.97.172.240,52.232.69.150,TLSv1.2,778,Application Data
176,6.681214,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=6435 Ack=970 Win=523264 Len=1380 [TCP segment of a reassembled PDU]
177,6.681224,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=7815 Ack=970 Win=523264 Len=1380 [TCP segment of a reassembled PDU]
178,6.681226,13.107.3.128,10.97.172.240,TCP,95,"[TCP Previous segment not captured] 443  >  54839 [PSH, ACK] Seq=10575 Ack=970 Win=523264 Len=41 [TCP segment of a reassembled PDU]"
179,6.681347,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=970 Ack=9195 Win=259328 Len=0
180,6.681348,10.97.172.240,13.107.3.128,TCP,66,[TCP Dup ACK 179#1] 54839  >  443 [ACK] Seq=970 Ack=9195 Win=259328 Len=0 SLE=10575 SRE=10616
181,6.681512,10.97.172.240,13.107.3.128,TCP,66,[TCP Window Update] 54839  >  443 [ACK] Seq=970 Ack=9195 Win=262144 Len=0 SLE=10575 SRE=10616
182,6.682486,13.107.3.128,10.97.172.240,TCP,1434,[TCP Out-Of-Order] 443  >  54839 [ACK] Seq=9195 Ack=970 Win=523264 Len=1380
183,6.682492,13.107.3.128,10.97.172.240,TCP,1434,443  >  54839 [ACK] Seq=10616 Ack=970 Win=523264 Len=1380 [TCP segment of a reassembled PDU]
184,6.682494,13.107.3.128,10.97.172.240,TCP,222,"[TCP Previous segment not captured] 443  >  54839 [PSH, ACK] Seq=13376 Ack=970 Win=523264 Len=168 [TCP segment of a reassembled PDU]"
185,6.682496,13.107.3.128,10.97.172.240,TCP,1434,[TCP Out-Of-Order] 443  >  54839 [ACK] Seq=11996 Ack=970 Win=523264 Len=1380
186,6.682596,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=970 Ack=10616 Win=260672 Len=0
187,6.682597,10.97.172.240,13.107.3.128,TCP,66,54839  >  443 [ACK] Seq=970 Ack=11996 Win=259328 Len=0 SLE=13376 SRE=13544
188,6.682597,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=970 Ack=13544 Win=257792 Len=0
189,6.682746,10.97.172.240,13.107.3.128,TCP,54,[TCP Window Update] 54839  >  443 [ACK] Seq=970 Ack=13544 Win=262144 Len=0
190,6.685273,10.97.172.240,13.107.3.128,TCP,54,"54839  >  443 [FIN, ACK] Seq=970 Ack=13544 Win=262144 Len=0"
191,6.689632,13.107.3.128,10.97.172.240,TCP,54,443  >  54839 [ACK] Seq=13544 Ack=971 Win=523264 Len=0
192,6.690264,13.107.3.128,10.97.172.240,TCP,54,"443  >  54839 [FIN, ACK] Seq=13544 Ack=971 Win=523264 Len=0"
193,6.690354,10.97.172.240,13.107.3.128,TCP,54,54839  >  443 [ACK] Seq=971 Ack=13545 Win=262144 Len=0
194,6.69455,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=5810 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
195,6.694557,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=7190 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
196,6.694559,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=8570 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
197,6.694561,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=9950 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
198,6.694563,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=11330 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
199,6.694571,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=12710 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
200,6.694574,52.232.69.150,10.97.172.240,TCP,1434,443  >  54840 [ACK] Seq=14090 Ack=1042 Win=261120 Len=1380 [TCP segment of a reassembled PDU]
201,6.694576,52.232.69.150,10.97.172.240,TLSv1.2,1118,Application Data
202,6.694578,52.232.69.150,10.97.172.240,TLSv1.2,825,"[TCP Previous segment not captured] , Ignored Unknown Record"
203,6.694653,52.232.69.150,10.97.172.240,TCP,1434,[TCP Out-Of-Order] 443  >  54840 [ACK] Seq=16534 Ack=1042 Win=261120 Len=1380
204,6.694656,52.232.69.150,10.97.172.240,TLSv1.2,88,Application Data
205,6.694705,10.97.172.240,52.232.69.150,TCP,54,54840  >  443 [ACK] Seq=1042 Ack=8570 Win=259328 Len=0
